FIPS,E.Hesitant,Hispanic,Asian,Black,White,State,Pov,Unemp,Age65,Age17,Disab,SNGPNT,MINRTY,LIMENG,MUnit,Mobile,Crowd,NoVeh,GroupQ,RUCC,R.Cycles,D.Cycles,2020,MedInc,MedAge,HSGrad,Bachelors,Veterans,Uninsured,Computer,Smartphone,Broadband,Hesitancy.disc
1123,0.24,0.0242,0.0036,0.2697,0.6887,AL,20.3,10.4,20.4,21.1,19,10,31.1,0.2,3.3,18.1,3,9,1.5,6,6,0,REPUBLICAN,24621,44.7,80.7,18.4,8.7,8.2,67.2,70.3,74.9,4
1121,0.235,0.0229,0.0061,0.3237,0.6263,AL,19.9,8.8,17.1,21.5,19.3,10.4,37.1,0.5,2.3,23.6,1.3,7.9,4.2,4,6,0,REPUBLICAN,22313,41.3,80.3,15,8.3,9.3,60.6,71.8,73.5,4
1131,0.2357,0.0053,3.00E-04,0.6938,0.2684,AL,31.1,15.5,18.4,24.4,18.4,7.3,73.2,0.7,0.2,40.4,0.9,16.1,2.4,9,0,6,DEMOCRAT,17766,40.5,76.5,12.5,4.7,10.9,47.1,50.3,53.7,4
1129,0.2357,0.0146,0.0025,0.2354,0.6495,AL,21,8.5,18.3,22.2,24.5,7.6,34.9,0.5,0,30.9,3.1,3.7,0.9,8,6,0,REPUBLICAN,21647,43.7,82.6,12.7,7.5,9.4,57.3,66.4,61.8,4
1133,0.2313,0.0315,0.0016,0.0073,0.937,AL,16.2,7.6,21.1,20.9,25.2,7.3,6.1,0.5,1.9,27.4,1.1,7.1,1.6,6,6,0,REPUBLICAN,20905,45.2,78.8,12.8,7.3,12.3,57,68.2,65.8,4
1127,0.2404,0.0249,0.0049,0.0617,0.8895,AL,19.7,8.8,18.6,22.3,24.1,7.5,10.9,0.6,1,29.3,2,5.7,1.4,1,6,0,REPUBLICAN,24078,42.1,81.8,11.3,7.8,11.8,60.4,73,72,4
2013,0.2884,0.0901,0.1968,0.0322,0.1321,AK,15.4,3.5,8.8,14.2,8.5,14.1,85,13.1,3.8,4.3,2.6,23,34.7,9,6,0,REPUBLICAN,29177,42.5,85.5,11.5,5,46.3,63.4,82.1,62.4,4
2016,0.2884,0.1406,0.3963,0.0335,0.2383,AK,8.5,2,5.8,16.7,7.7,10.1,75.8,8.3,16.6,0.8,10.6,16.4,23.8,9,3,3,DEMOCRAT,35204,38.6,89.5,17,6.1,17.5,71.4,83.7,77.2,4
1125,0.2197,0.0372,0.0161,0.3189,0.6155,AL,17.4,6.3,12.5,20.9,12,10.7,38,0.9,15.9,9.8,1.6,5.8,5,3,6,0,REPUBLICAN,25278,33,88.3,30.7,6.1,7.2,71.4,79.6,80.4,3
13165,0.2462,0.0817,0.0111,0.3491,0.5467,GA,29.3,4,16.8,23.1,14.4,9.7,44,3.1,0,27.1,2.4,11.2,0.8,6,6,0,REPUBLICAN,16832,44.3,79.3,7.9,7.6,16.9,49.4,67.9,57.3,4
13167,0.2541,0.0247,0.0022,0.3315,0.624,GA,22.6,9,17.7,19.8,18,8.1,37.4,0.1,3.3,27.4,4.8,11.3,2.5,7,6,0,REPUBLICAN,21300,41.8,75.1,9.1,8.7,13.9,52.9,64.9,60,4
13159,0.2245,0.0392,0.0029,0.2039,0.7421,GA,17.8,6.6,16.9,23.9,17.6,6.7,26.1,0.7,0.3,20.9,3.4,5.7,0.6,1,6,0,REPUBLICAN,25112,43,82.8,14.2,8.2,12.2,69.1,75.5,73.3,3
13161,0.2692,0.1212,0.0023,0.1641,0.7085,GA,20.6,5.9,15.3,27,16.6,11.7,28.6,2.2,1.7,34,4.5,9,0.9,7,6,0,REPUBLICAN,20689,36.6,79.3,10.3,6.4,18.4,60,71.6,61.3,4
13169,0.2184,0.0167,0.0075,0.2456,0.7143,GA,15,7.4,16.6,23.7,14.8,9.1,28.4,0,0.4,21.4,1.3,4.8,1,3,6,0,REPUBLICAN,28674,40.4,89.1,19.6,10.5,9.9,72.9,76.8,79,3
13163,0.2462,0.0384,0.0031,0.5311,0.4201,GA,24.8,6.9,17.4,23.8,15.4,10.1,58.1,0.7,0.2,28,2.7,13.3,3.4,6,1,5,REPUBLICAN,19890,40,76.4,9.9,6.9,14.8,45.3,68.2,60.3,4
13321,0.2374,0.022,0.0079,0.2801,0.673,GA,20.8,6.5,18.1,23.2,17.5,12.5,32.7,0.5,1.4,32.1,0.6,6.4,0.8,3,6,0,REPUBLICAN,25104,41.6,82.9,11,8.5,18.4,58.6,72.4,69.9,4
13305,0.2692,0.0626,0.0061,0.2024,0.7117,GA,19.6,7.6,15,24.8,16.3,7.6,28.8,1.6,1.5,30.9,2.9,8.8,7.1,6,6,0,REPUBLICAN,22399,38.9,83.4,13,9,15.1,65,74.7,73.7,4
