"","state","name","fips","median_individual_income_2019","pop_2019","white_2019","black_2019","median_age_2019","hs_grad_2019","bachelors_2019","veterans_2019","uninsured_2019","household_has_computer_2019","household_has_smartphone_2019","household_has_broadband_2019"
"1","Alabama","Autauga County",1001,29725,55380,76.8,19,38.2,88.5,26.6,12.6,7.1,73,78.4,80.6
"2","Alabama","Baldwin County",1003,29802,212830,86.2,9.3,43,90.8,31.9,11.8,8.9,76.3,81.7,81.8
"3","Alabama","Barbour County",1005,17963,25361,46.8,47.6,40.4,73.2,11.6,6.6,11.3,51.9,64.2,60.5
"4","Alabama","Bibb County",1007,21958,22493,76.8,22.3,40.9,79.1,10.4,8,10.7,54.7,66.6,69.2
"5","Alabama","Blount County",1009,26976,57681,95.5,1.6,40.7,80.5,13.1,7.7,10.8,63.5,70.1,73
"6","Alabama","Bullock County",1011,21571,10248,21.9,74.8,40.2,74.7,12.1,3.3,11.4,52.5,70.6,60.1
"7","Alabama","Butler County",1013,19685,19828,51.8,45.4,40.8,85,16.1,6.6,8.7,60.5,57.1,64.6
"8","Alabama","Calhoun County",1015,24069,114618,73.7,20.8,39.6,84.4,18.5,10.8,9.5,67.8,74.9,75.1
"9","Alabama","Chambers County",1017,22754,33660,57.7,39.6,42,81.6,13.3,7.9,10.3,58.6,68.7,69.4
"10","Alabama","Cherokee County",1019,23121,25903,92.9,4.6,46.5,81.6,12.8,9.1,8.6,57.3,71.4,70.7
"11","Alabama","Chilton County",1021,24132,44055,83.6,9.2,38.7,81.8,12.7,7.6,13,58.7,69.1,68.7
"12","Alabama","Choctaw County",1023,20652,12925,56.8,42.6,46.3,81.4,11.9,8.6,10.3,59.1,63.7,61.3
"13","Alabama","Clarke County",1025,21613,24128,53,45.8,42.5,80.6,12.2,6.2,9.7,52.5,56.8,57.5
"14","Alabama","Clay County",1027,22404,13337,83.2,15.6,43.3,76.7,10.6,6,10.3,60.6,70.1,70.1
"15","Alabama","Cleburne County",1029,23433,14916,93.9,2.7,43.1,79,15.4,6.1,12.3,60.5,69.2,64.3
"16","Alabama","Coffee County",1031,28172,51662,75.7,16.9,39.3,85.9,22.8,16.4,9.8,69.7,76.4,80
"17","Alabama","Colbert County",1033,25308,54771,79,16.2,42.4,85.2,18.1,8.9,7.2,62.9,71.7,70.1
"18","Alabama","Conecuh County",1035,21085,12394,50.7,47.8,44.8,84.3,12.8,5.9,12.7,43.4,51.4,52.7
"19","Alabama","Coosa County",1037,20110,10757,65.8,33.6,48.4,80,12.8,10.4,8,55.3,67.8,69.5
"20","Alabama","Covington County",1039,24623,37200,84.6,13.5,43.3,83.4,15.3,10,11.1,57.2,67.6,70.7
"21","Alabama","Crenshaw County",1041,21337,13844,71.4,23.3,41.7,79.2,17.4,6.6,8.7,57.9,63.9,65.1
"22","Alabama","Cullman County",1043,24163,82853,95.1,1.3,40.8,81.6,13.9,8,11.1,62.3,71.5,74.1
"23","Alabama","Dale County",1045,24767,49277,72.4,20.3,37.3,86.1,18.1,16.4,11.6,67.6,76.1,77
"24","Alabama","Dallas County",1047,20682,39149,27.9,70.7,39.6,81.8,14.7,6.1,11.1,54.8,64.4,69.7
"25","Alabama","DeKalb County",1049,21951,71310,85.4,1.5,39.5,74.8,13,6.3,13.7,60.5,71.7,72
"26","Alabama","Elmore County",1051,29988,81144,75.3,21.5,38.7,86.6,25.1,10.6,7.4,71.5,79.4,81.5
"27","Alabama","Escambia County",1053,22986,37057,62.2,32.1,40,81.1,12.5,7.4,14.2,46.3,59.7,61
"28","Alabama","Etowah County",1055,23677,102748,79.8,15.9,41.4,84.6,17.8,8.4,10.6,63.4,73.1,76.5
"29","Alabama","Fayette County",1057,21529,16494,85.3,11.8,43.7,82.6,12.4,8.4,7.6,55.9,68,70.3
"30","Alabama","Franklin County",1059,24210,31466,83,4.4,38.6,77.2,14,5.6,11.7,53,63.4,61.9
